date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:35	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22636ad58a-239b%22	https://khanarshad0.github.io/robots.txt		(from )
19:22:35	54938/54938	---M-Z	200	added ('OK')	text/html	etag:W/%2262e8b5f9-d69a%22	https://khanarshad0.github.io/practice.io/	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/index.html	(from )
19:22:35	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22636ad58a-247b%22	https://khanarshad0.github.io/practice.io/img/favicon.ico	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/img/favicon.ico	(from https://khanarshad0.github.io/practice.io/)
19:22:36	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f735d97-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.0/css/all.min.css	C:/Users/91829/Desktop/htmls/ArshadWebsite/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.0/css/all.min.css	(from https://khanarshad0.github.io/practice.io/)
19:22:36	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2262e8b5f9-b78%22	https://khanarshad0.github.io/practice.io/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/lib/owlcarousel/assets/owl.carousel.min.css	(from https://khanarshad0.github.io/practice.io/)
19:22:37	175381/175381	---M-Z	200	added ('OK')	text/css	etag:W/%2262e8b5f9-2ad15%22	https://khanarshad0.github.io/practice.io/css/style.css	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/css/style.css	(from https://khanarshad0.github.io/practice.io/)
19:22:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2024%20Nov%202022%2013:52:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/91829/Desktop/htmls/ArshadWebsite/www.googletagmanager.com/gtm.45445.delayed	(from https://khanarshad0.github.io/practice.io/)
19:22:38	54938/54938	---M-Z	200	added ('OK')	text/html	etag:W/%2262e8b5f9-d69a%22	https://khanarshad0.github.io/practice.io/index.html	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/index-2.html	(from https://khanarshad0.github.io/practice.io/)
19:22:38	28716/28716	---M--	200	added ('OK')	image/png	etag:%2262e8b5f9-702c%22	https://khanarshad0.github.io/practice.io/img/ads-728x90.png	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/img/ads-728x90.png	(from https://khanarshad0.github.io/practice.io/)
19:22:38	43095/43095	---M-Z	200	added ('OK')	text/html	etag:W/%2262e8b5f9-a857%22	https://khanarshad0.github.io/practice.io/category.html	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/category.html	(from https://khanarshad0.github.io/practice.io/)
19:22:39	37294/37294	---M-Z	200	added ('OK')	text/html	etag:W/%2262e8b5f9-91ae%22	https://khanarshad0.github.io/practice.io/single.html	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/single.html	(from https://khanarshad0.github.io/practice.io/)
19:22:39	22156/22156	---M-Z	200	added ('OK')	text/html	etag:W/%2262e8b5f9-568c%22	https://khanarshad0.github.io/practice.io/contact.html	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/contact.html	(from https://khanarshad0.github.io/practice.io/)
19:22:40	43346/43346	---M--	200	added ('OK')	image/jpeg	etag:%2262e8b5f9-a952%22	https://khanarshad0.github.io/practice.io/img/news-800x500-1.jpg	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/img/news-800x500-1.jpg	(from https://khanarshad0.github.io/practice.io/)
19:22:40	31130/31130	---M--	200	added ('OK')	image/jpeg	etag:%2262e8b5f9-799a%22	https://khanarshad0.github.io/practice.io/img/news-800x500-2.jpg	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/img/news-800x500-2.jpg	(from https://khanarshad0.github.io/practice.io/)
19:22:41	33230/33230	---M--	200	added ('OK')	image/jpeg	etag:%2262e8b5f9-81ce%22	https://khanarshad0.github.io/practice.io/img/news-800x500-3.jpg	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/img/news-800x500-3.jpg	(from https://khanarshad0.github.io/practice.io/)
19:22:41	45159/45159	---M--	200	added ('OK')	image/jpeg	etag:%2262e8b5f9-b067%22	https://khanarshad0.github.io/practice.io/img/news-700x435-1.jpg	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/img/news-700x435-1.jpg	(from https://khanarshad0.github.io/practice.io/)
19:22:42	31435/31435	---M--	200	added ('OK')	image/jpeg	etag:%2262e8b5f9-7acb%22	https://khanarshad0.github.io/practice.io/img/news-700x435-2.jpg	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/img/news-700x435-2.jpg	(from https://khanarshad0.github.io/practice.io/)
19:22:42	27429/27429	---M--	200	added ('OK')	image/jpeg	etag:%2262e8b5f9-6b25%22	https://khanarshad0.github.io/practice.io/img/news-700x435-3.jpg	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/img/news-700x435-3.jpg	(from https://khanarshad0.github.io/practice.io/)
19:22:42	59834/59834	---M--	200	added ('OK')	image/jpeg	etag:%2262e8b5f9-e9ba%22	https://khanarshad0.github.io/practice.io/img/news-700x435-4.jpg	C:/Users/91829/Desktop/htmls/ArshadWebsite/khanarshad0.github.io/practice.io/img/news-700x435-4.jpg	(from https://khanarshad0.github.io/practice.io/)
